Time,Animal,Size
After,4,12640.037
After,4,1815.886
After,4,22077.594
After,4,23909.55
After,4,4008.264
After,4,20298.439
After,4,2240.588
After,4,5952.709
After,4,12513.774
After,4,19731.405
After,4,2786.961
After,4,7029.385
After,4,4423.783
After,4,7757.117
After,4,13643.251
After,4,6078.972
After,4,9735.996
After,4,6926.079
After,4,10135.445
After,4,23487.144
After,4,32314.05
After,4,18145.087
After,4,2860.422
After,4,1659.78
After,4,23415.978
After,4,15192.837
After,4,2382.92
After,4,3709.826
After,4,8184.114
After,4,14460.514
After,4,5319.1
After,4,6567.952
After,4,11345.271
After,4,30144.628
After,4,21701.102
After,4,4056.474
After,4,6664.371
After,4,6464.646
After,4,8011.938
After,4,2479.339
After,4,5011.478
After,4,2589.532
After,4,3971.534
After,4,4242.424
After,4,4552.342
After,4,3211.662
After,4,13714.417
After,4,2022.498
After,4,6717.172
After,4,6496.786
After,4,12213.039
After,4,2109.734
After,4,33204.775
After,4,29251.607
After,4,29715.335
After,4,27378.329
After,4,9003.673
After,4,11698.806
After,4,2460.973
After,4,4008.264
After,4,6225.895
After,4,30257.117
After,4,4348.026
After,4,15098.714
After,4,19072.544
After,4,6101.928
After,4,8787.879
After,4,11115.702
After,4,6170.799
After,4,6623.049
After,4,25686.41
After,4,23457.3
After,4,8861.341
After,4,7190.083
After,5,3638.659
After,5,8420.569
After,5,3705.234
After,5,6971.993
After,5,18317.264
After,5,30537.19
After,5,3526.171
After,5,3682.277
After,5,6744.72
After,5,9416.896
After,5,17116.621
After,5,34412.305
After,5,4263.085
After,5,3792.47
After,5,16958.219
After,5,1923.783
After,5,2949.954
After,5,9042.7
After,5,21726.354
After,5,4439.853
After,5,5883.838
After,5,4857.668
After,5,5539.486
After,5,7353.076
After,5,37178.604
After,5,1499.082
After,5,13468.779
After,5,33503.214
After,5,19928.834
After,5,10431.589
After,5,20000
After,5,23487.144
After,5,6400.367
After,5,22245.179
After,5,10162.994
After,5,13179.522
After,5,10484.389
After,5,24772.727
After,5,10856.29
After,5,19012.856
After,5,33131.313
After,5,36117.998
After,5,8303.489
After,5,7224.518
After,5,9288.338
After,5,11019.284
After,5,3340.22
After,5,610.652
After,5,3363.177
After,5,3521.579
After,5,7685.95
After,5,9279.155
After,5,3078.512
After,5,4189.624
After,5,8310.376
After,5,5381.084
After,5,4513.315
After,5,6274.105
After,5,7224.518
After,5,10787.42
After,5,7736.455
After,5,8427.456
After,5,1336.088
After,5,4306.703
After,5,1251.148
After,5,9258.494
After,5,2199.265
After,5,5176.768
After,5,5328.283
After,5,7718.09
After,5,3691.46
After,5,8126.722
After,5,10445.363
After,5,9428.375
After,5,6248.852
After,5,8388.43
After,5,2341.598
After,5,6753.903
After,5,6285.583
After,5,6441.69
After,5,9947.199
After,5,8415.978
After,5,1464.646
After,5,12139.578
After,5,20872.36
After,5,24357.208
After,5,27438.017
After,5,904.5
After,5,16921.488
After,5,14965.565
After,5,7970.615
After,5,7008.724
After,5,9802.571
After,5,16425.62
After,5,1827.365
After,5,10477.502
After,5,30828.742
After,5,17970.615
After,5,40805.785
After,5,9582.185
After,5,2031.68
After,5,6297.062
After,5,23278.237
After,5,15257.117
After,5,2697.429
After,5,801.194
After,5,23601.928
After,5,35020.661
